app_id, name, version, language, os_type, platform, legacy, path
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.6, multilang, windows, arm64, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.6/uPCU/2533274923565056/eea_arm64.dup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.6, multilang, windows, x64, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.6/uPCU/2533274923565058/eea_nt64.dup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.6, multilang, windows, arm64, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.6/uPCU/2533274923565058/eea_arm64.dup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.6, multilang, windows, x86, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.6/uPCU/2533274923565056/eea_nt32.dup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.6, multilang, windows, arm64, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.6/uPCU/2533274923565056/eea_arm64.dup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.6, multilang, windows, x86, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.6/uPCU/2533274923565056/eea_nt32.dup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.6, multilang, windows, x64, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.6/uPCU/2533274923565056/eea_nt64.dup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.6, multilang, windows, arm64, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.6/uPCU/2533274923565056/eea_arm64.dup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.6, multilang, windows, x64, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.6/uPCU/2533274923565056/eea_nt64.dup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.6, multilang, windows, arm64, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.6/uPCU/2533274923565056/eea_arm64.dup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.6, multilang, windows, x86, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.6/eea_nt32.msi,
com.eset.apps.business.era.server.windows, ESET PROTECT Server, 9.0.1145.0, en_US, windows, x64, 0,com/eset/apps/business/era/server/windows/v9/9.0.1145.0/server_x64.msi,
com.eset.apps.business.era.server.windows, ESET PROTECT Server, 9.0.1144.0, en_US, windows, x64, 0,com/eset/apps/business/era/server/windows/v9/9.0.1144.0/server_x64.msi,
com.eset.apps.business.era.agent, ESET Management Agent, 9.0.1141.0, en_US, windows, arm64, 0,com/eset/apps/business/era/agent/v9/9.0.1141.0/agent_arm64.msi,
com.eset.apps.business.era.agent, ESET Management Agent, 9.0.1141.0, en_US, windows, x86, 0,com/eset/apps/business/era/agent/v9/9.0.1141.0/agent_x86.msi,
com.eset.apps.business.era.agent, ESET Management Agent, 9.0.1141.0, en_US, windows, x64, 0,com/eset/apps/business/era/agent/v9/9.0.1141.0/agent_x64.msi,
com.eset.apps.business.era.server.windows, ESET PROTECT Server, 9.0.1141.0, en_US, windows, x64, 0,com/eset/apps/business/era/server/windows/v9/9.0.1141.0/server_x64.msi,
com.eset.apps.business.era.webconsole, ESET PROTECT WebConsole, 9.0.139.0, en_US, , x86, 0,com/eset/apps/business/era/webconsole/v9/9.0.139.0/era.war,
com.eset.apps.business.era.webconsole, ESET PROTECT WebConsole, 9.0.138.0, en_US, , x86, 0,com/eset/apps/business/era/webconsole/v9/9.0.138.0/era.war,
third_party.apps.apache.tomcat, ApacheTomcat, 9.0.35.0, en_US, windows, x64, 0,third_party/apps/apache/tomcat/v9/9.0.35/apache-tomcat-9.0.35-windows-x64.zip,
third_party.apps.apache.tomcat, ApacheTomcat, 9.0.22.0, en_US, windows, x64, 0,third_party/apps/apache/tomcat/v9/9.0.22.0/apache-tomcat-9.0.22-windows-x64.zip,
com.eset.apps.business.era.mdm, ESET PROTECT Mobile Device Connector, 8.1.5139.0, en_US, linux, x64, 0,com/eset/apps/business/era/mdm/v8/8.1.5139.0/mdmcore_linux_x86_64.sh,
com.eset.apps.business.era.mdm, ESET PROTECT Mobile Device Connector, 8.1.4140.0, en_US, windows, x64, 0,com/eset/apps/business/era/mdm/v8/8.1.4140.0/mdmcore_x64.msi,
com.eset.apps.business.era.agent, ESET Management Agent, 8.1.3215.0, en_US, mac, x64;x86, 0,com/eset/apps/business/era/agent/v8/8.1.3215.0/agent_macosx_x86_64.dmg,
com.eset.apps.business.era.server.linux, ESET PROTECT Server, 8.1.2211.0, en_US, linux, x64, 0,com/eset/apps/business/era/server/linux/v8/8.1.2211.0/server_linux_x86_64.sh,
